,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
224,Air_60kW,50000.0,400000.0,25000,2-runner,off,65,10000,3062246.0,321.0
225,Air_60kW,50000.0,400000.0,75000,2-runner,off,55,10000,3125401.0,264.1
226,Air_60kW,100000.0,300000.0,50000,2-runner,on,65,20000,3181916.0,409.8
227,Air_60kW,100000.0,300000.0,75000,2-runner,on,60,10000,3213229.0,388.4
228,Air_60kW,150000.0,200000.0,25000,2-runner,on,65,10000,3234918.0,513.5
229,Air_60kW,150000.0,200000.0,25000,2-runner,off,65,15000,3222670.0,527.7
230,Air_60kW,150000.0,200000.0,75000,2-runner,off,65,15000,3288170.0,527.7
231,Air_60kW,150000.0,200000.0,50000,3-runner,on,60,10000,3668760.0,551.5
232,Air_40kW,0.0,400000.0,75000,3-runner,off,60,20000,3410364.0,206.6
233,Air_40kW,50000.0,0.0,50000,2-runner,off,65,15000,2999514.0,260.4
234,Air_40kW,50000.0,200000.0,75000,3-runner,off,60,15000,3471355.0,238.2
235,Air_40kW,50000.0,200000.0,50000,2-runner,off,60,10000,3038585.0,227.8
236,Air_40kW,50000.0,400000.0,25000,2-runner,off,60,15000,3046002.0,234.0
237,Air_40kW,50000.0,400000.0,50000,2-runner,on,55,15000,3078665.0,200.2
238,Air_40kW,50000.0,400000.0,50000,2-runner,off,55,20000,3078236.0,234.6
239,Air_40kW,100000.0,300000.0,25000,3-runner,on,60,15000,3530862.0,292.5
240,Air_40kW,100000.0,400000.0,50000,3-runner,off,65,10000,3579617.0,399.8
241,Air_40kW,150000.0,0.0,50000,2-runner,on,55,15000,3199181.0,201.0
242,Air_40kW,150000.0,200000.0,25000,2-runner,off,55,10000,3203590.0,230.9
243,Air_40kW,150000.0,200000.0,75000,3-runner,on,60,15000,3686194.0,472.7
244,Air_30kW,0.0,400000.0,75000,3-runner,off,55,20000,3402694.0,221.2
245,Air_30kW,100000.0,400000.0,25000,3-runner,on,60,15000,3545832.0,346.4
246,Air_30kW,100000.0,400000.0,50000,2-runner,off,60,10000,3169913.0,236.5
247,Air_30kW,100000.0,400000.0,50000,3-runner,off,55,15000,3569929.0,245.6
248,Air_30kW,150000.0,0.0,25000,2-runner,off,55,15000,3156228.0,240.6
249,Air_30kW,150000.0,200000.0,25000,2-runner,on,60,15000,3201909.0,268.1
250,Air_30kW,150000.0,300000.0,25000,3-runner,off,60,15000,3617871.0,325.1
251,Air_60kW,0.0,300000.0,50000,3-runner,on,55,20000,3371869.0,249.5
252,Air_60kW,0.0,300000.0,75000,2-runner,on,55,15000,3004593.0,238.8
253,Air_60kW,0.0,300000.0,75000,3-runner,off,65,15000,3404869.0,252.5
254,Air_60kW,0.0,400000.0,75000,3-runner,on,55,10000,3424490.0,243.2
255,Air_60kW,50000.0,300000.0,25000,2-runner,on,55,15000,3042721.0,303.5
256,Air_60kW,50000.0,300000.0,75000,2-runner,on,60,20000,3105359.0,246.0
257,Air_60kW,50000.0,400000.0,50000,3-runner,off,55,20000,3492636.0,270.6
258,Air_60kW,50000.0,400000.0,75000,2-runner,on,65,15000,3129450.0,318.1
259,Air_60kW,50000.0,400000.0,75000,2-runner,off,65,15000,3127781.0,321.6
260,Air_60kW,100000.0,0.0,25000,3-runner,off,65,15000,3483363.0,427.3
261,Air_60kW,100000.0,0.0,50000,2-runner,off,60,20000,3112295.0,265.5
262,Air_60kW,100000.0,0.0,50000,3-runner,on,55,15000,3512573.0,251.4
